연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,주말,3,310,구파발,하행,1.0,8.0,11.3,18.6,20.0,24.0,21.3,20.8,19.0,20.4,18.6,19.9,19.2,16.1,8.9,7.1,8.4,6.3,4.0
,주말,3,311,연신내,상행,6.7,8.1,5.7,8.9,13.3,12.6,13.9,15.2,17.9,17.6,19.3,21.6,23.7,23.4,18.6,16.8,20.2,17.8,9.7
,주말,3,311,연신내,하행,3.0,10.3,13.4,22.0,23.3,27.1,26.9,22.8,22.9,21.2,20.1,20.2,19.3,13.4,9.9,7.4,7.8,6.4,5.0
,주말,3,312,불광,상행,6.2,7.6,5.9,9.8,14.9,14.1,15.9,17.5,20.9,20.7,23.0,27.0,30.6,30.5,24.0,22.4,25.8,22.8,14.3
,주말,3,312,불광,하행,4.7,12.2,16.0,25.3,27.5,31.3,30.8,28.0,25.6,24.7,23.4,23.8,22.4,15.6,11.2,8.5,9.1,7.1,5.4
,주말,3,313,녹번,상행,5.5,6.6,5.8,9.3,14.9,14.3,15.1,18.3,20.2,20.8,22.6,27.3,31.2,31.2,24.2,23.2,26.5,22.2,14.6
,주말,3,313,녹번,하행,5.8,13.6,18.0,28.1,30.6,33.6,34.7,30.7,27.9,26.6,25.0,25.1,23.2,15.9,11.2,8.5,8.8,7.0,4.9
,주말,3,314,홍제,상행,5.0,6.2,5.9,9.8,15.0,14.2,15.2,18.4,20.6,21.4,23.9,29.1,33.8,34.1,26.4,25.8,29.2,24.8,15.3
,주말,3,314,홍제,하행,7.2,14.5,19.0,30.0,35.1,34.5,38.0,34.3,29.6,29.4,27.1,26.8,24.8,17.9,11.6,8.8,8.6,7.0,4.4
,주말,3,315,무악재,상행,4.0,6.2,6.3,10.5,15.2,14.4,16.2,19.0,21.5,22.8,25.9,32.0,36.6,36.7,27.4,29.6,32.1,27.2,17.4
,주말,3,315,무악재,하행,7.4,14.6,19.4,30.5,35.8,35.3,38.9,34.3,31.1,30.0,27.7,27.4,25.0,18.0,11.6,8.8,8.2,7.5,4.5
,주말,3,316,독립문,상행,4.0,6.5,6.4,10.6,15.4,14.6,16.4,19.2,21.8,23.3,26.3,32.7,37.4,37.6,28.1,30.2,32.5,27.8,17.4
,주말,3,316,독립문,하행,6.0,14.9,18.2,30.8,36.0,36.0,38.6,35.8,32.2,31.0,29.0,28.7,26.0,18.4,11.7,9.0,8.2,7.5,4.3
,주말,3,317,경복궁,상행,4.0,6.6,6.6,11.2,17.3,16.2,17.2,19.7,22.6,23.6,27.3,33.1,38.2,38.3,28.6,30.8,32.7,28.6,18.2
,주말,3,317,경복궁,하행,7.0,14.2,17.3,30.2,36.8,34.9,40.6,37.3,34.4,34.5,34.8,36.4,33.8,24.3,16.3,13.4,13.4,11.0,6.1
,주말,3,318,안국,상행,4.0,7.2,7.7,13.6,22.0,21.2,23.2,27.5,30.1,30.4,32.3,38.3,41.1,39.7,29.0,30.7,32.3,28.6,15.7
,주말,3,318,안국,하행,6.9,13.8,16.8,28.8,35.1,33.8,39.3,37.4,35.1,36.3,38.6,42.2,41.1,30.0,20.1,17.0,16.8,13.6,6.6
,주말,3,319,종로3가,상행,3.9,7.7,8.7,15.3,25.0,25.8,29.0,34.0,36.9,36.2,36.1,40.8,41.8,39.4,28.4,31.2,30.4,27.6,15.6
,주말,3,319,종로3가,하행,5.8,10.6,12.5,22.4,27.4,26.1,29.1,28.4,26.6,28.5,31.0,33.4,33.1,26.0,17.2,14.5,14.3,11.4,5.4
,주말,3,320,을지로3가,상행,2.2,5.3,6.2,11.5,17.7,19.6,23.2,27.3,29.7,28.6,27.1,31.5,32.9,30.8,22.6,24.6,23.5,21.8,12.1
