호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
8호선,강동구청역,812,MON,06,30,1,0,810,암사역,827,모란역,811,천호역,"[96, 108, 76, 92, 123, 56]",월요일
8호선,강동구청역,812,MON,06,40,1,0,810,암사역,827,모란역,811,천호역,"[114, 137, 101, 115, 97, 72]",월요일
8호선,강동구청역,812,MON,06,50,1,0,810,암사역,827,모란역,811,천호역,"[87, 106, 100, 111, 86, 86]",월요일
8호선,강동구청역,812,MON,06,00,0,0,827,모란역,804,별내역,813,몽촌토성역,"[15, 20, 14, 6, 3, 2]",월요일
8호선,강동구청역,812,MON,06,10,0,0,827,모란역,804,별내역,813,몽촌토성역,"[12, 19, 14, 9, 7, 5]",월요일
8호선,강동구청역,812,MON,06,20,0,0,827,모란역,804,별내역,813,몽촌토성역,"[14, 18, 17, 13, 10, 7]",월요일
8호선,강동구청역,812,MON,06,30,0,0,827,모란역,804,별내역,813,몽촌토성역,"[16, 17, 12, 11, 9, 6]",월요일
8호선,강동구청역,812,MON,06,40,0,0,827,모란역,804,별내역,813,몽촌토성역,"[13, 18, 11, 7, 7, 4]",월요일
8호선,강동구청역,812,MON,06,50,0,0,827,모란역,804,별내역,813,몽촌토성역,"[18, 26, 18, 13, 8, 6]",월요일
8호선,강동구청역,812,MON,06,00,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[15, 20, 14, 6, 3, 2]",월요일
8호선,강동구청역,812,MON,06,10,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[12, 19, 14, 9, 7, 5]",월요일
8호선,강동구청역,812,MON,06,20,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[14, 18, 17, 13, 10, 7]",월요일
8호선,강동구청역,812,MON,06,30,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[16, 17, 12, 11, 9, 6]",월요일
8호선,강동구청역,812,MON,06,40,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[13, 18, 11, 7, 7, 4]",월요일
