연번,평일/주말,호선,역변호,출발역,상하구분,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30,
169,,3,329,고속터미널,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,3,329,고속터미널,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,3,330,교대,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,3,330,교대,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,3,331,남부터미널,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,3,331,남부터미널,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,3,332,양재,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,3,332,양재,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,3,333,매봉,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,3,333,매봉,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,3,334,도곡,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,3,334,도곡,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,3,335,대치,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,3,335,대치,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,3,336,학여울,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,3,336,학여울,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,3,337,대청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,3,337,대청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,3,338,일원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,3,338,일원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,3,339,수서,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,3,339,수서,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,3,340,가락시장,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,3,340,가락시장,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,3,341,경찰병원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
