연번,호선,역번호,역명,평일주말,구분,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
52,8,2805,별내,평일,하행,0,8109,,10:46:00,별내,모란
53,8,2805,별내,평일,하행,0,8111,,10:54:00,별내,모란
54,8,2805,별내,평일,하행,0,8113,,11:02:00,별내,모란
55,8,2805,별내,평일,하행,0,8115,,11:10:00,별내,모란
56,8,2805,별내,평일,하행,0,8117,,11:18:00,별내,모란
57,8,2805,별내,평일,하행,0,8119,,11:26:00,별내,모란
58,8,2805,별내,평일,하행,0,8121,,11:34:00,별내,모란
59,8,2805,별내,평일,하행,0,8123,,11:42:00,별내,모란
60,8,2805,별내,평일,하행,0,8125,,11:50:00,별내,모란
61,8,2805,별내,평일,하행,0,8127,,11:58:00,별내,모란
62,8,2805,별내,평일,하행,0,8129,,12:06:00,별내,모란
63,8,2805,별내,평일,하행,0,8131,,12:14:00,별내,모란
64,8,2805,별내,평일,하행,0,8133,,12:22:00,별내,모란
65,8,2805,별내,평일,하행,0,8135,,12:30:00,별내,모란
66,8,2805,별내,평일,하행,0,8137,,12:38:00,별내,모란
67,8,2805,별내,평일,하행,0,8139,,12:46:00,별내,모란
68,8,2805,별내,평일,하행,0,8141,,12:54:00,별내,모란
69,8,2805,별내,평일,하행,0,8143,,13:02:00,별내,모란
70,8,2805,별내,평일,하행,0,8145,,13:10:00,별내,모란
71,8,2805,별내,평일,하행,0,8147,,13:18:00,별내,모란
72,8,2805,별내,평일,하행,0,8149,,13:26:00,별내,모란
73,8,2805,별내,평일,하행,0,8151,,13:34:00,별내,모란
74,8,2805,별내,평일,하행,0,8153,,13:42:00,별내,모란
75,8,2805,별내,평일,하행,0,8155,,13:50:00,별내,모란
76,8,2805,별내,평일,하행,0,8157,,13:58:00,별내,모란
77,8,2805,별내,평일,하행,0,8159,,14:06:00,별내,모란
78,8,2805,별내,평일,하행,0,8161,,14:14:00,별내,모란
79,8,2805,별내,평일,하행,0,8163,,14:22:00,별내,모란
80,8,2805,별내,평일,하행,0,8165,,14:30:00,별내,모란
81,8,2805,별내,평일,하행,0,8167,,14:38:00,별내,모란
82,8,2805,별내,평일,하행,0,8169,,14:46:00,별내,모란
83,8,2805,별내,평일,하행,0,8171,,14:54:00,별내,모란
84,8,2805,별내,평일,하행,0,8173,,15:02:00,별내,모란
85,8,2805,별내,평일,하행,0,8175,,15:10:00,별내,모란
86,8,2805,별내,평일,하행,0,8177,,15:18:00,별내,모란
87,8,2805,별내,평일,하행,0,8179,,15:26:00,별내,모란
88,8,2805,별내,평일,하행,0,8181,,15:34:00,별내,모란
89,8,2805,별내,평일,하행,0,8183,,15:42:00,별내,모란
90,8,2805,별내,평일,하행,0,8185,,15:50:00,별내,모란
91,8,2805,별내,평일,하행,0,8187,,15:58:00,별내,모란
92,8,2805,별내,평일,하행,0,8189,,16:06:00,별내,모란
93,8,2805,별내,평일,하행,0,8191,,16:14:00,별내,모란
94,8,2805,별내,평일,하행,0,8193,,16:22:00,별내,모란
95,8,2805,별내,평일,하행,0,8195,,16:30:00,별내,모란
96,8,2805,별내,평일,하행,0,8197,,16:38:00,별내,모란
97,8,2805,별내,평일,하행,0,8199,,16:46:00,별내,모란
98,8,2805,별내,평일,하행,0,8201,,16:54:00,별내,모란
99,8,2805,별내,평일,하행,0,8203,,17:01:00,별내,모란
100,8,2805,별내,평일,하행,0,8205,,17:08:00,별내,모란
101,8,2805,별내,평일,하행,0,8207,,17:15:00,별내,모란
102,8,2805,별내,평일,하행,0,8209,,17:21:30,별내,모란
103,8,2805,별내,평일,하행,0,8211,,17:27:30,별내,모란
104,8,2805,별내,평일,하행,0,8213,,17:33:30,별내,모란
105,8,2805,별내,평일,하행,0,8215,,17:39:30,별내,모란
106,8,2805,별내,평일,하행,0,8217,,17:45:30,별내,모란
107,8,2805,별내,평일,하행,0,8219,,17:51:30,별내,모란
108,8,2805,별내,평일,하행,0,8221,,17:57:30,별내,모란
109,8,2805,별내,평일,하행,0,8223,,18:03:30,별내,모란
110,8,2805,별내,평일,하행,0,8225,,18:09:00,별내,모란
111,8,2805,별내,평일,하행,0,8227,,18:14:30,별내,모란
112,8,2805,별내,평일,하행,0,8229,,18:19:30,별내,모란
113,8,2805,별내,평일,하행,0,8231,,18:24:30,별내,모란
114,8,2805,별내,평일,하행,0,8233,,18:29:30,별내,모란
115,8,2805,별내,평일,하행,0,8235,,18:34:30,별내,모란
116,8,2805,별내,평일,하행,0,8237,,18:39:30,별내,모란
117,8,2805,별내,평일,하행,0,8239,,18:44:30,별내,모란
118,8,2805,별내,평일,하행,0,8241,,18:49:30,별내,모란
119,8,2805,별내,평일,하행,0,8243,,18:54:30,별내,모란
120,8,2805,별내,평일,하행,0,8245,,18:59:00,별내,모란
121,8,2805,별내,평일,하행,0,8247,,19:04:00,별내,모란
122,8,2805,별내,평일,하행,0,8249,,19:09:00,별내,모란
123,8,2805,별내,평일,하행,0,8251,,19:14:00,별내,모란
124,8,2805,별내,평일,하행,0,8253,,19:19:00,별내,모란
125,8,2805,별내,평일,하행,0,8255,,19:24:00,별내,모란
126,8,2805,별내,평일,하행,0,8257,,19:29:00,별내,모란
127,8,2805,별내,평일,하행,0,8259,,19:34:30,별내,모란
128,8,2805,별내,평일,하행,0,8261,,19:40:00,별내,모란
129,8,2805,별내,평일,하행,0,8263,,19:46:00,별내,모란
130,8,2805,별내,평일,하행,0,8265,,19:52:00,별내,모란
131,8,2805,별내,평일,하행,0,8267,,19:58:00,별내,모란
132,8,2805,별내,평일,하행,0,8269,,20:04:00,별내,모란
133,8,2805,별내,평일,하행,0,8271,,20:10:00,별내,모란
134,8,2805,별내,평일,하행,0,8273,,20:16:00,별내,모란
135,8,2805,별내,평일,하행,0,8275,,20:22:00,별내,모란
136,8,2805,별내,평일,하행,0,8277,,20:28:00,별내,모란
137,8,2805,별내,평일,하행,0,8279,,20:35:00,별내,모란
138,8,2805,별내,평일,하행,0,8281,,20:42:00,별내,모란
139,8,2805,별내,평일,하행,0,8283,,20:49:00,별내,모란
140,8,2805,별내,평일,하행,0,8285,,20:56:00,별내,모란
141,8,2805,별내,평일,하행,0,8287,,21:03:30,별내,모란
142,8,2805,별내,평일,하행,0,8289,,21:11:30,별내,모란
143,8,2805,별내,평일,하행,0,8291,,21:19:30,별내,모란
144,8,2805,별내,평일,하행,0,8293,,21:27:30,별내,모란
145,8,2805,별내,평일,하행,0,8295,,21:36:00,별내,모란
146,8,2805,별내,평일,하행,0,8297,,21:45:00,별내,모란
147,8,2805,별내,평일,하행,0,8299,,21:54:00,별내,모란
148,8,2805,별내,평일,하행,0,8301,,22:04:00,별내,모란
149,8,2805,별내,평일,하행,0,8303,,22:14:00,별내,모란
150,8,2805,별내,평일,하행,0,8305,,22:24:00,별내,모란
151,8,2805,별내,평일,하행,0,8307,,22:36:00,별내,모란
152,8,2805,별내,평일,하행,0,8309,,22:48:00,별내,모란
153,8,2805,별내,평일,하행,0,8311,,23:00:00,별내,모란
154,8,2805,별내,평일,하행,0,8313,,23:15:00,별내,모란
155,8,2805,별내,평일,하행,0,8315,,23:30:00,별내,모란
156,8,2805,별내,평일,하행,0,8317,,23:49:00,별내,모란
157,8,2805,별내,평일,하행,0,8319,,24:08:00,별내,모란
158,8,2805,별내,평일,하행,0,8321,,24:27:30,별내,가락시장
159,8,2805,별내,평일,하행,0,8323,,24:42:00,별내,암사
160,8,2805,별내,평일,상행,0,8002,5:45:20,,암사,별내
161,8,2805,별내,평일,상행,0,8004,5:55:30,,잠실,별내
162,8,2805,별내,평일,상행,0,8006,6:08:20,,가락시장,별내
163,8,2805,별내,평일,상행,0,8008,6:20:30,,모란,별내
164,8,2805,별내,평일,상행,0,8010,6:27:30,,모란,별내
165,8,2805,별내,평일,상행,0,8012,6:34:30,,모란,별내
166,8,2805,별내,평일,상행,0,8014,6:40:30,,모란,별내
167,8,2805,별내,평일,상행,0,8016,6:46:30,,모란,별내
168,8,2805,별내,평일,상행,0,8018,6:51:30,,모란,별내
169,8,2805,별내,평일,상행,0,8020,6:56:30,,모란,별내
170,8,2805,별내,평일,상행,0,8022,7:02:00,,모란,별내
171,8,2805,별내,평일,상행,0,8024,7:07:00,,모란,별내
172,8,2805,별내,평일,상행,0,8026,7:12:00,,모란,별내
173,8,2805,별내,평일,상행,0,8028,7:17:00,,모란,별내
174,8,2805,별내,평일,상행,0,8030,7:22:00,,모란,별내
175,8,2805,별내,평일,상행,0,8032,7:26:30,,모란,별내
176,8,2805,별내,평일,상행,0,8034,7:31:00,,모란,별내
177,8,2805,별내,평일,상행,0,8036,7:35:30,,모란,별내
178,8,2805,별내,평일,상행,0,8038,7:40:00,,모란,별내
179,8,2805,별내,평일,상행,0,8040,7:44:30,,모란,별내
180,8,2805,별내,평일,상행,0,8042,7:49:30,,모란,별내
181,8,2805,별내,평일,상행,0,8044,7:54:00,,모란,별내
182,8,2805,별내,평일,상행,0,8046,7:58:30,,모란,별내
183,8,2805,별내,평일,상행,0,8048,8:03:00,,모란,별내
184,8,2805,별내,평일,상행,0,8050,8:08:00,,모란,별내
185,8,2805,별내,평일,상행,0,8052,8:12:30,,모란,별내
186,8,2805,별내,평일,상행,0,8054,8:17:00,,모란,별내
187,8,2805,별내,평일,상행,0,8056,8:22:00,,모란,별내
188,8,2805,별내,평일,상행,0,8058,8:26:30,,모란,별내
189,8,2805,별내,평일,상행,0,8060,8:32:00,,모란,별내
190,8,2805,별내,평일,상행,0,8062,8:38:00,,모란,별내
191,8,2805,별내,평일,상행,0,8064,8:44:00,,모란,별내
192,8,2805,별내,평일,상행,0,8066,8:50:00,,모란,별내
193,8,2805,별내,평일,상행,0,8068,8:55:30,,모란,별내
194,8,2805,별내,평일,상행,0,8070,9:01:00,,모란,별내
195,8,2805,별내,평일,상행,0,8072,9:06:30,,모란,별내
196,8,2805,별내,평일,상행,0,8074,9:12:00,,모란,별내
197,8,2805,별내,평일,상행,0,8076,9:17:30,,모란,별내
198,8,2805,별내,평일,상행,0,8078,9:23:30,,모란,별내
199,8,2805,별내,평일,상행,0,8080,9:29:00,,모란,별내
200,8,2805,별내,평일,상행,0,8082,9:35:00,,모란,별내
201,8,2805,별내,평일,상행,0,8084,9:41:00,,모란,별내
202,8,2805,별내,평일,상행,0,8086,9:47:00,,모란,별내
203,8,2805,별내,평일,상행,0,8088,9:53:30,,모란,별내
204,8,2805,별내,평일,상행,0,8090,10:00:30,,모란,별내
205,8,2805,별내,평일,상행,0,8092,10:07:30,,모란,별내
206,8,2805,별내,평일,상행,0,8094,10:15:30,,모란,별내
207,8,2805,별내,평일,상행,0,8096,10:23:00,,모란,별내
208,8,2805,별내,평일,상행,0,8098,10:31:00,,모란,별내
209,8,2805,별내,평일,상행,0,8100,10:39:00,,모란,별내
210,8,2805,별내,평일,상행,0,8102,10:47:00,,모란,별내
211,8,2805,별내,평일,상행,0,8104,10:54:30,,모란,별내
212,8,2805,별내,평일,상행,0,8106,11:02:30,,모란,별내
213,8,2805,별내,평일,상행,0,8108,11:10:30,,모란,별내
214,8,2805,별내,평일,상행,0,8110,11:18:30,,모란,별내
215,8,2805,별내,평일,상행,0,8112,11:26:30,,모란,별내
216,8,2805,별내,평일,상행,0,8114,11:34:30,,모란,별내
217,8,2805,별내,평일,상행,0,8116,11:42:30,,모란,별내
218,8,2805,별내,평일,상행,0,8118,11:50:30,,모란,별내
219,8,2805,별내,평일,상행,0,8120,11:58:30,,모란,별내
220,8,2805,별내,평일,상행,0,8122,12:06:30,,모란,별내
221,8,2805,별내,평일,상행,0,8124,12:14:30,,모란,별내
222,8,2805,별내,평일,상행,0,8126,12:22:30,,모란,별내
223,8,2805,별내,평일,상행,0,8128,12:30:30,,모란,별내
224,8,2805,별내,평일,상행,0,8130,12:38:30,,모란,별내
225,8,2805,별내,평일,상행,0,8132,12:46:30,,모란,별내
226,8,2805,별내,평일,상행,0,8134,12:54:30,,모란,별내
227,8,2805,별내,평일,상행,0,8136,13:02:30,,모란,별내
228,8,2805,별내,평일,상행,0,8138,13:10:30,,모란,별내
229,8,2805,별내,평일,상행,0,8140,13:18:30,,모란,별내
230,8,2805,별내,평일,상행,0,8142,13:26:30,,모란,별내
231,8,2805,별내,평일,상행,0,8144,13:34:30,,모란,별내
232,8,2805,별내,평일,상행,0,8146,13:42:30,,모란,별내
233,8,2805,별내,평일,상행,0,8148,13:50:30,,모란,별내
234,8,2805,별내,평일,상행,0,8150,13:58:30,,모란,별내
235,8,2805,별내,평일,상행,0,8152,14:06:30,,모란,별내
236,8,2805,별내,평일,상행,0,8154,14:14:30,,모란,별내
237,8,2805,별내,평일,상행,0,8156,14:22:30,,모란,별내
238,8,2805,별내,평일,상행,0,8158,14:30:30,,모란,별내
239,8,2805,별내,평일,상행,0,8160,14:38:30,,모란,별내
240,8,2805,별내,평일,상행,0,8162,14:46:30,,모란,별내
241,8,2805,별내,평일,상행,0,8164,14:54:30,,모란,별내
242,8,2805,별내,평일,상행,0,8166,15:02:30,,모란,별내
243,8,2805,별내,평일,상행,0,8168,15:10:30,,모란,별내
244,8,2805,별내,평일,상행,0,8170,15:18:30,,모란,별내
245,8,2805,별내,평일,상행,0,8172,15:26:30,,모란,별내
246,8,2805,별내,평일,상행,0,8174,15:34:30,,모란,별내
247,8,2805,별내,평일,상행,0,8176,15:42:30,,모란,별내
248,8,2805,별내,평일,상행,0,8178,15:50:30,,모란,별내
249,8,2805,별내,평일,상행,0,8180,15:58:30,,모란,별내
250,8,2805,별내,평일,상행,0,8182,16:06:30,,모란,별내
251,8,2805,별내,평일,상행,0,8184,16:14:30,,모란,별내
252,8,2805,별내,평일,상행,0,8186,16:22:30,,모란,별내
253,8,2805,별내,평일,상행,0,8188,16:30:30,,모란,별내
254,8,2805,별내,평일,상행,0,8190,16:38:30,,모란,별내
255,8,2805,별내,평일,상행,0,8192,16:46:30,,모란,별내
256,8,2805,별내,평일,상행,0,8194,16:54:00,,모란,별내
257,8,2805,별내,평일,상행,0,8196,17:01:00,,모란,별내
258,8,2805,별내,평일,상행,0,8198,17:07:30,,모란,별내
259,8,2805,별내,평일,상행,0,8200,17:14:00,,모란,별내
260,8,2805,별내,평일,상행,0,8202,17:20:30,,모란,별내
261,8,2805,별내,평일,상행,0,8204,17:26:30,,모란,별내
262,8,2805,별내,평일,상행,0,8206,17:32:30,,모란,별내
263,8,2805,별내,평일,상행,0,8208,17:38:30,,모란,별내
264,8,2805,별내,평일,상행,0,8210,17:44:30,,모란,별내
265,8,2805,별내,평일,상행,0,8212,17:51:00,,모란,별내
266,8,2805,별내,평일,상행,0,8214,17:57:00,,모란,별내
267,8,2805,별내,평일,상행,0,8216,18:02:30,,모란,별내
268,8,2805,별내,평일,상행,0,8218,18:08:00,,모란,별내
269,8,2805,별내,평일,상행,0,8220,18:13:00,,모란,별내
270,8,2805,별내,평일,상행,0,8222,18:18:30,,모란,별내
271,8,2805,별내,평일,상행,0,8224,18:23:30,,모란,별내
272,8,2805,별내,평일,상행,0,8226,18:28:30,,모란,별내
273,8,2805,별내,평일,상행,0,8228,18:33:30,,모란,별내
274,8,2805,별내,평일,상행,0,8230,18:38:30,,모란,별내
275,8,2805,별내,평일,상행,0,8232,18:43:30,,모란,별내
276,8,2805,별내,평일,상행,0,8234,18:48:00,,모란,별내
277,8,2805,별내,평일,상행,0,8236,18:52:30,,모란,별내
278,8,2805,별내,평일,상행,0,8238,18:57:00,,모란,별내
279,8,2805,별내,평일,상행,0,8240,19:01:30,,모란,별내
280,8,2805,별내,평일,상행,0,8242,19:06:00,,모란,별내
281,8,2805,별내,평일,상행,0,8244,19:10:30,,모란,별내
282,8,2805,별내,평일,상행,0,8246,19:15:30,,모란,별내
283,8,2805,별내,평일,상행,0,8248,19:20:30,,모란,별내
284,8,2805,별내,평일,상행,0,8250,19:25:30,,모란,별내
285,8,2805,별내,평일,상행,0,8252,19:31:30,,모란,별내
286,8,2805,별내,평일,상행,0,8254,19:37:30,,모란,별내
287,8,2805,별내,평일,상행,0,8256,19:43:30,,모란,별내
288,8,2805,별내,평일,상행,0,8258,19:49:30,,모란,별내
289,8,2805,별내,평일,상행,0,8260,19:55:30,,모란,별내
290,8,2805,별내,평일,상행,0,8262,20:02:00,,모란,별내
291,8,2805,별내,평일,상행,0,8264,20:08:30,,모란,별내
292,8,2805,별내,평일,상행,0,8266,20:15:00,,모란,별내
293,8,2805,별내,평일,상행,0,8268,20:21:30,,모란,별내
294,8,2805,별내,평일,상행,0,8270,20:28:00,,모란,별내
295,8,2805,별내,평일,상행,0,8272,20:35:00,,모란,별내
296,8,2805,별내,평일,상행,0,8274,20:42:00,,모란,별내
297,8,2805,별내,평일,상행,0,8276,20:49:00,,모란,별내
298,8,2805,별내,평일,상행,0,8278,20:56:30,,모란,별내
299,8,2805,별내,평일,상행,0,8280,21:04:30,,모란,별내
300,8,2805,별내,평일,상행,0,8282,21:12:30,,모란,별내
301,8,2805,별내,평일,상행,0,8284,21:20:30,,모란,별내
302,8,2805,별내,평일,상행,0,8286,21:29:00,,모란,별내
303,8,2805,별내,평일,상행,0,8288,21:38:00,,모란,별내
304,8,2805,별내,평일,상행,0,8290,21:47:00,,모란,별내
305,8,2805,별내,평일,상행,0,8292,21:56:30,,모란,별내
306,8,2805,별내,평일,상행,0,8294,22:06:30,,모란,별내
307,8,2805,별내,평일,상행,0,8296,22:16:30,,모란,별내
308,8,2805,별내,평일,상행,0,8298,22:26:30,,모란,별내
309,8,2805,별내,평일,상행,0,8300,22:36:30,,모란,별내
310,8,2805,별내,평일,상행,0,8302,22:47:30,,모란,별내
311,8,2805,별내,평일,상행,0,8304,22:58:30,,모란,별내
312,8,2805,별내,평일,상행,0,8306,23:12:00,,모란,별내
313,8,2805,별내,평일,상행,0,8308,23:25:30,,모란,별내
314,8,2805,별내,평일,상행,0,8310,23:40:30,,모란,별내
315,8,2805,별내,평일,상행,0,8312,23:55:30,,모란,별내
316,8,2805,별내,평일,상행,0,8314,24:10:30,,모란,별내
317,8,2805,별내,평일,상행,0,8316,24:25:30,,모란,별내
318,8,2805,별내,평일,상행,0,8318,24:42:30,,모란,별내
319,8,2805,별내,평일,상행,0,8320,25:00:00,,모란,별내
320,8,2805,별내,주말,하행,0,8007,,5:32:00,별내,모란
321,8,2805,별내,주말,하행,0,8009,,5:43:00,별내,모란
322,8,2805,별내,주말,하행,0,8011,,5:54:00,별내,모란
323,8,2805,별내,주말,하행,0,8013,,6:05:00,별내,모란
324,8,2805,별내,주말,하행,0,8015,,6:16:00,별내,모란
325,8,2805,별내,주말,하행,0,8017,,6:27:00,별내,모란
326,8,2805,별내,주말,하행,0,8019,,6:36:30,별내,모란
327,8,2805,별내,주말,하행,0,8021,,6:46:00,별내,모란
328,8,2805,별내,주말,하행,0,8023,,6:55:00,별내,모란
329,8,2805,별내,주말,하행,0,8025,,7:04:00,별내,모란
330,8,2805,별내,주말,하행,0,8027,,7:13:00,별내,모란
331,8,2805,별내,주말,하행,0,8029,,7:22:00,별내,모란
332,8,2805,별내,주말,하행,0,8031,,7:31:00,별내,모란
333,8,2805,별내,주말,하행,0,8033,,7:40:00,별내,모란
334,8,2805,별내,주말,하행,0,8035,,7:49:00,별내,모란
335,8,2805,별내,주말,하행,0,8037,,7:58:00,별내,모란
336,8,2805,별내,주말,하행,0,8039,,8:07:00,별내,모란
337,8,2805,별내,주말,하행,0,8041,,8:16:00,별내,모란
338,8,2805,별내,주말,하행,0,8043,,8:25:00,별내,모란
339,8,2805,별내,주말,하행,0,8045,,8:34:00,별내,모란
340,8,2805,별내,주말,하행,0,8047,,8:43:00,별내,모란
341,8,2805,별내,주말,하행,0,8049,,8:52:00,별내,모란
342,8,2805,별내,주말,하행,0,8051,,9:01:00,별내,모란
343,8,2805,별내,주말,하행,0,8053,,9:10:00,별내,모란
344,8,2805,별내,주말,하행,0,8055,,9:19:00,별내,모란
345,8,2805,별내,주말,하행,0,8057,,9:28:00,별내,모란
346,8,2805,별내,주말,하행,0,8059,,9:37:00,별내,모란
347,8,2805,별내,주말,하행,0,8061,,9:46:00,별내,모란
348,8,2805,별내,주말,하행,0,8063,,9:55:00,별내,모란
349,8,2805,별내,주말,하행,0,8065,,10:04:00,별내,모란
350,8,2805,별내,주말,하행,0,8067,,10:13:00,별내,모란
351,8,2805,별내,주말,하행,0,8069,,10:22:00,별내,모란
352,8,2805,별내,주말,하행,0,8071,,10:31:00,별내,모란
353,8,2805,별내,주말,하행,0,8073,,10:40:00,별내,모란
354,8,2805,별내,주말,하행,0,8075,,10:49:00,별내,모란
355,8,2805,별내,주말,하행,0,8077,,10:58:00,별내,모란
356,8,2805,별내,주말,하행,0,8079,,11:07:00,별내,모란
357,8,2805,별내,주말,하행,0,8081,,11:16:00,별내,모란
358,8,2805,별내,주말,하행,0,8083,,11:25:00,별내,모란
359,8,2805,별내,주말,하행,0,8085,,11:34:00,별내,모란
360,8,2805,별내,주말,하행,0,8087,,11:43:00,별내,모란
361,8,2805,별내,주말,하행,0,8089,,11:52:00,별내,모란
362,8,2805,별내,주말,하행,0,8091,,12:01:00,별내,모란
363,8,2805,별내,주말,하행,0,8093,,12:10:00,별내,모란
364,8,2805,별내,주말,하행,0,8095,,12:19:00,별내,모란
365,8,2805,별내,주말,하행,0,8097,,12:28:00,별내,모란
366,8,2805,별내,주말,하행,0,8099,,12:37:00,별내,모란
367,8,2805,별내,주말,하행,0,8101,,12:46:00,별내,모란
368,8,2805,별내,주말,하행,0,8103,,12:55:00,별내,모란
369,8,2805,별내,주말,하행,0,8105,,13:04:00,별내,모란
370,8,2805,별내,주말,하행,0,8107,,13:13:00,별내,모란
371,8,2805,별내,주말,하행,0,8109,,13:22:00,별내,모란
372,8,2805,별내,주말,하행,0,8111,,13:31:00,별내,모란
373,8,2805,별내,주말,하행,0,8113,,13:40:00,별내,모란
374,8,2805,별내,주말,하행,0,8115,,13:49:00,별내,모란
375,8,2805,별내,주말,하행,0,8117,,13:58:00,별내,모란
376,8,2805,별내,주말,하행,0,8119,,14:07:00,별내,모란
377,8,2805,별내,주말,하행,0,8121,,14:16:00,별내,모란
378,8,2805,별내,주말,하행,0,8123,,14:25:00,별내,모란
379,8,2805,별내,주말,하행,0,8125,,14:34:00,별내,모란
380,8,2805,별내,주말,하행,0,8127,,14:43:00,별내,모란
381,8,2805,별내,주말,하행,0,8129,,14:52:00,별내,모란
382,8,2805,별내,주말,하행,0,8131,,15:01:00,별내,모란
383,8,2805,별내,주말,하행,0,8133,,15:10:00,별내,모란
384,8,2805,별내,주말,하행,0,8135,,15:19:00,별내,모란
385,8,2805,별내,주말,하행,0,8137,,15:28:00,별내,모란
386,8,2805,별내,주말,하행,0,8139,,15:37:00,별내,모란
387,8,2805,별내,주말,하행,0,8141,,15:46:00,별내,모란
388,8,2805,별내,주말,하행,0,8143,,15:55:00,별내,모란
389,8,2805,별내,주말,하행,0,8145,,16:04:00,별내,모란
390,8,2805,별내,주말,하행,0,8147,,16:13:00,별내,모란
391,8,2805,별내,주말,하행,0,8149,,16:22:00,별내,모란
392,8,2805,별내,주말,하행,0,8151,,16:31:00,별내,모란
393,8,2805,별내,주말,하행,0,8153,,16:40:00,별내,모란
394,8,2805,별내,주말,하행,0,8155,,16:49:00,별내,모란
395,8,2805,별내,주말,하행,0,8157,,16:58:00,별내,모란
396,8,2805,별내,주말,하행,0,8159,,17:07:00,별내,모란
397,8,2805,별내,주말,하행,0,8161,,17:16:00,별내,모란
398,8,2805,별내,주말,하행,0,8163,,17:25:00,별내,모란
399,8,2805,별내,주말,하행,0,8165,,17:34:00,별내,모란
400,8,2805,별내,주말,하행,0,8167,,17:43:00,별내,모란
401,8,2805,별내,주말,하행,0,8169,,17:52:00,별내,모란
402,8,2805,별내,주말,하행,0,8171,,18:01:00,별내,모란
403,8,2805,별내,주말,하행,0,8173,,18:10:00,별내,모란
404,8,2805,별내,주말,하행,0,8175,,18:19:00,별내,모란
405,8,2805,별내,주말,하행,0,8177,,18:28:00,별내,모란
406,8,2805,별내,주말,하행,0,8179,,18:37:00,별내,모란
407,8,2805,별내,주말,하행,0,8181,,18:46:00,별내,모란
408,8,2805,별내,주말,하행,0,8183,,18:55:00,별내,모란
