호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
5호선,올림픽공원역,P550,SAT,07,40,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[6, 9, 13, 13, 12, 12, 9, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,50,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[7, 9, 18, 14, 16, 13, 6, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,00,0,0,P555,마천역,544,군자역,P551,방이역,"[4, 8, 9, 12, 15, 9, 8, 15]",토요일
5호선,올림픽공원역,P550,SAT,07,10,0,0,P555,마천역,544,군자역,P551,방이역,"[7, 11, 3, 12, 15, 11, 10, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,20,0,0,P555,마천역,544,군자역,P551,방이역,"[10, 3, 12, 7, 8, 7, 8, 25]",토요일
5호선,올림픽공원역,P550,SAT,07,30,0,0,P555,마천역,544,군자역,P551,방이역,"[5, 10, 12, 16, 15, 11, 9, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,40,0,0,P555,마천역,544,군자역,P551,방이역,"[13, 13, 14, 18, 18, 11, 16, 18]",토요일
5호선,올림픽공원역,P550,SAT,07,50,0,0,P555,마천역,544,군자역,P551,방이역,"[16, 16, 20, 18, 19, 17, 18, 22]",토요일
5호선,올림픽공원역,P550,SAT,07,00,0,0,P555,마천역,510,방화역,P551,방이역,"[4, 8, 9, 12, 15, 9, 8, 15]",토요일
5호선,올림픽공원역,P550,SAT,07,10,0,0,P555,마천역,510,방화역,P551,방이역,"[7, 11, 3, 12, 15, 11, 10, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,20,0,0,P555,마천역,510,방화역,P551,방이역,"[10, 3, 12, 7, 8, 7, 8, 25]",토요일
5호선,올림픽공원역,P550,SAT,07,30,0,0,P555,마천역,510,방화역,P551,방이역,"[5, 10, 12, 16, 15, 11, 9, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,40,0,0,P555,마천역,510,방화역,P551,방이역,"[13, 13, 14, 18, 18, 11, 16, 18]",토요일
5호선,올림픽공원역,P550,SAT,07,50,0,0,P555,마천역,510,방화역,P551,방이역,"[16, 16, 20, 18, 19, 17, 18, 22]",토요일
5호선,올림픽공원역,P550,SAT,07,00,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[3, 4, 7, 7, 6, 6, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,07,10,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[7, 10, 13, 20, 11, 11, 6, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,20,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[5, 9, 14, 12, 12, 8, 9, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,30,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[7, 14, 15, 10, 11, 8, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,07,40,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[6, 9, 13, 13, 12, 12, 9, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,50,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[7, 9, 18, 14, 16, 13, 6, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,00,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[1, 1, 1, 1, 1, 1, 1, 1]",토요일
5호선,올림픽공원역,P550,SAT,07,10,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[7, 10, 13, 20, 11, 11, 6, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,20,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[5, 9, 14, 12, 12, 8, 9, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,30,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[7, 14, 15, 10, 11, 8, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,07,40,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[6, 9, 13, 13, 12, 12, 9, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,50,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[7, 9, 18, 14, 16, 13, 6, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,00,0,0,P555,마천역,517,화곡역,P551,방이역,"[4, 8, 9, 12, 15, 9, 8, 15]",토요일
5호선,올림픽공원역,P550,SAT,07,10,0,0,P555,마천역,517,화곡역,P551,방이역,"[7, 11, 3, 12, 15, 11, 10, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,20,0,0,P555,마천역,517,화곡역,P551,방이역,"[10, 3, 12, 7, 8, 7, 8, 25]",토요일
5호선,올림픽공원역,P550,SAT,07,30,0,0,P555,마천역,517,화곡역,P551,방이역,"[5, 10, 12, 16, 15, 11, 9, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,40,0,0,P555,마천역,517,화곡역,P551,방이역,"[13, 13, 14, 18, 18, 11, 16, 18]",토요일
5호선,올림픽공원역,P550,SAT,07,50,0,0,P555,마천역,517,화곡역,P551,방이역,"[16, 16, 20, 18, 19, 17, 18, 22]",토요일
5호선,올림픽공원역,P550,SAT,07,00,0,0,P555,마천역,530,애오개역,P551,방이역,"[4, 8, 9, 12, 15, 9, 8, 15]",토요일
5호선,올림픽공원역,P550,SAT,07,10,0,0,P555,마천역,530,애오개역,P551,방이역,"[7, 11, 3, 12, 15, 11, 10, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,20,0,0,P555,마천역,530,애오개역,P551,방이역,"[10, 3, 12, 7, 8, 7, 8, 25]",토요일
5호선,올림픽공원역,P550,SAT,07,30,0,0,P555,마천역,530,애오개역,P551,방이역,"[5, 10, 12, 16, 15, 11, 9, 10]",토요일
5호선,올림픽공원역,P550,SAT,07,40,0,0,P555,마천역,530,애오개역,P551,방이역,"[13, 13, 14, 18, 18, 11, 16, 18]",토요일
5호선,올림픽공원역,P550,SAT,07,50,0,0,P555,마천역,530,애오개역,P551,방이역,"[16, 16, 20, 18, 19, 17, 18, 22]",토요일
5호선,올림픽공원역,P550,SAT,08,00,0,0,P555,마천역,517,화곡역,P551,방이역,"[15, 18, 19, 21, 23, 19, 18, 19]",토요일
5호선,올림픽공원역,P550,SAT,08,10,0,0,P555,마천역,517,화곡역,P551,방이역,"[17, 17, 18, 20, 20, 24, 22, 23]",토요일
5호선,올림픽공원역,P550,SAT,08,20,0,0,P555,마천역,517,화곡역,P551,방이역,"[15, 13, 20, 19, 27, 25, 24, 25]",토요일
5호선,올림픽공원역,P550,SAT,08,30,0,0,P555,마천역,517,화곡역,P551,방이역,"[17, 22, 19, 19, 24, 25, 25, 26]",토요일
