연번,호선,역번호,역명,상행(내선순환),출구 번호,하행(외선순환),출구번호,기타
188,6호선,2629,삼각지,녹사평 방면,"1-1, 3-1, 7-4,",효창공원앞 방면,"1-4, 6-4, 8-4,",
189,6호선,2630,녹사평(용산구청),이태원 방면,"3-4,",삼각지 방면,"6-1,",
190,6호선,2631,이태원,한강진 방면,"6-1,",녹사평 방면,"3-3,",
191,6호선,2632,한강진,버티고개 방면,"5-2,",이태원 방면,"4-2,",
192,6호선,2633,버티고개,약수 방면,03월 04일,한강진방면,06월 01일,
193,6호선,2634,약수,청구 방면,"1-1, 4-1,",버티고개 방면,"3-4, 5-4, 8-4,",
194,6호선,2635,청구,신당 방면,"6-1,",약수 방면,"6-1, ",
195,6호선,2636,신당,동묘앞 방면,"3-4, 7-3, 8-4,",청구 방면,"1-1, 2-2,",
196,6호선,2637,동묘앞,창신 방면,"1-1, 2-3, 5-2",신당 방면,"4-3, 7-3, 8-4,",
197,6호선,2638,창신,보문 방면,"5-1,",동묘앞 방면,"4-3,",
198,6호선,2639,보문,안암 방면,"5-4,",창신 방면,"3-4,",
199,6호선,2640,안암(고대병원앞),고려대 방면,"5-3,",보문 방면,"5-1,",
200,6호선,2641,고려대(종암),월곡 방면,"6-1,",안암 방면,"3-3,",
201,6호선,2642,월곡(동덕여대),상월곡 방면,"5-4,",고려대 방면,"3-3,",
202,6호선,2643,상월곡(한국과학기술연구원),돌곶이 방면,"1-1, 8-4",월곡 방면,"1-1, 8-4",
203,6호선,2644,돌곶이,석계 방면,"3-4,",상월곡 방면,"5-4,",
204,6호선,2645,석계,태릉입구 방면,"3-2, 8-4,",돌곶이 방면,"1-1, 6-3,",
205,6호선,2646,태릉입구,화랑대 방면,"4-2, 4-3",석계 방면,"5-2, ",
206,6호선,2647,화랑대(서울여대입구),봉화산 방면,"3-2,",태릉입구 방면,"6-3, ",
207,6호선,2648,봉화산(서울의료원),신내 방면,"1-1, 8-4,",화랑대 방면,"1-1, 8-4,",
208,7호선,2711,장암,장암 방면,04월 03일,,,
209,7호선,2712,도봉산,장암 방면,"1-1, 7-3",수락산 방면,"2-2, 2-3, 8-4",
210,7호선,2713,수락산,도봉산 방면,01월 01일,마들 방면,08월 04일,
211,7호선,2714,마들,수락산 방면,05월 03일,노원 방면,04월 01일,
212,7호선,2715,노원,마들 방면,"1-1, 6-2",중계 방면,"3-3, 8-4",
213,7호선,2716,중계,노원 방면,"3-4, 6-1",하계 방면,"3-3, 5-4",
214,7호선,2717,하계,중계 방면,"3-3, 5-3",공릉 방면,"4-1, 6-1",
215,7호선,2718,공릉(서울과학기술대),하계 방면,05월 01일,태릉입구 방면,04월 04일,
216,7호선,2719,태릉입구,공릉 방면,04월 01일,먹골 방면,05월 03일,
217,7호선,2720,먹골,태릉입구 방면,04월 01일,중화 방면,05월 04일,
218,7호선,2721,중화,먹골 방면,"3-4, 5-4",상봉 방면,"4-1, 6-1",
219,7호선,2722,상봉(시외버스터미널),중화 방면,03월 04일,면목 방면,05월 04일,
220,7호선,2723,면목,상봉 방면,03월 04일,사가정 방면,06월 01일,
221,7호선,2724,사가정,면목 방면,02월 04일,용마산 방면,07월 01일,
