호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
1호선,동묘앞역,8,0,1,"[12, 11, 13, 17, 23, 15, 16, 14, 17, 21]",2
1호선,동묘앞역,8,1,0,"[123, 107, 101, 100, 96, 87, 80, 78, 69, 65]",10
1호선,동묘앞역,8,1,1,"[48, 44, 42, 39, 43, 35, 27, 24, 20, 16]",10
1호선,동묘앞역,9,0,0,"[16, 15, 19, 25, 32, 24, 21, 22, 30, 31]",2
1호선,동묘앞역,9,0,1,"[14, 15, 16, 29, 27, 26, 17, 18, 26, 26]",1
1호선,동묘앞역,9,1,0,"[62, 67, 55, 56, 48, 45, 41, 32, 35, 32]",8
1호선,동묘앞역,9,1,1,"[49, 50, 42, 50, 42, 40, 33, 26, 26, 23]",10
1호선,동묘앞역,10,0,0,"[20, 16, 22, 29, 35, 25, 23, 25, 30, 33]",2
1호선,동묘앞역,10,0,1,"[16, 20, 24, 34, 36, 30, 25, 22, 34, 27]",1
1호선,동묘앞역,10,1,0,"[39, 46, 42, 41, 40, 35, 32, 24, 28, 20]",10
1호선,동묘앞역,10,1,1,"[47, 51, 50, 44, 47, 47, 39, 26, 27, 22]",10
1호선,동묘앞역,11,0,0,"[19, 20, 24, 31, 37, 28, 28, 26, 31, 34]",1
1호선,동묘앞역,11,0,1,"[21, 22, 27, 37, 40, 31, 30, 28, 27, 35]",1
1호선,동묘앞역,11,1,0,"[41, 42, 38, 38, 37, 33, 29, 23, 19, 18]",10
1호선,동묘앞역,11,1,1,"[57, 63, 57, 56, 50, 45, 45, 32, 30, 28]",10
1호선,동묘앞역,12,0,0,"[22, 20, 25, 35, 41, 30, 29, 31, 35, 36]",2
1호선,동묘앞역,12,0,1,"[22, 22, 28, 36, 41, 36, 30, 27, 32, 36]",1
1호선,동묘앞역,12,1,0,"[42, 44, 39, 38, 38, 40, 28, 25, 19, 19]",9
1호선,동묘앞역,12,1,1,"[53, 60, 51, 53, 57, 47, 48, 28, 29, 27]",10
1호선,동묘앞역,13,0,0,"[24, 23, 24, 35, 43, 38, 31, 29, 38, 37]",2
1호선,동묘앞역,13,0,1,"[28, 23, 31, 43, 51, 43, 36, 31, 41, 41]",2
1호선,동묘앞역,13,1,0,"[39, 43, 35, 37, 36, 36, 26, 20, 20, 17]",10
1호선,동묘앞역,13,1,1,"[53, 60, 57, 52, 50, 55, 40, 33, 28, 21]",10
1호선,동묘앞역,14,0,0,"[23, 21, 25, 29, 34, 32, 29, 30, 33, 39]",2
1호선,동묘앞역,14,0,1,"[27, 28, 35, 48, 50, 43, 41, 36, 44, 44]",1
1호선,동묘앞역,14,1,0,"[34, 34, 33, 34, 32, 31, 26, 21, 19, 14]",10
1호선,동묘앞역,14,1,1,"[57, 57, 56, 50, 55, 47, 43, 33, 28, 23]",10
1호선,동묘앞역,15,0,0,"[32, 26, 29, 36, 39, 34, 38, 34, 42, 51]",2
1호선,동묘앞역,15,0,1,"[32, 28, 36, 38, 49, 42, 40, 40, 50, 47]",2
1호선,동묘앞역,15,1,0,"[43, 47, 38, 42, 44, 39, 35, 23, 19, 19]",9
1호선,동묘앞역,15,1,1,"[51, 56, 47, 46, 52, 48, 41, 32, 29, 23]",10
1호선,동묘앞역,16,0,0,"[38, 31, 32, 42, 43, 39, 45, 41, 52, 56]",2
1호선,동묘앞역,16,0,1,"[32, 31, 38, 41, 43, 41, 46, 48, 51, 55]",2
1호선,동묘앞역,16,1,0,"[42, 48, 38, 39, 40, 43, 33, 23, 20, 19]",10
1호선,동묘앞역,16,1,1,"[46, 50, 41, 42, 44, 45, 34, 26, 24, 20]",10
1호선,동묘앞역,17,0,0,"[50, 45, 49, 54, 52, 58, 57, 58, 71, 76]",2
1호선,동묘앞역,17,0,1,"[32, 27, 37, 37, 43, 38, 44, 42, 48, 48]",2
1호선,동묘앞역,17,1,0,"[44, 50, 38, 43, 37, 39, 33, 26, 18, 20]",9
1호선,동묘앞역,17,1,1,"[42, 44, 39, 42, 40, 43, 32, 23, 21, 18]",10
