연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
879,주말,6,2612,역촌,하행,3,6.4,8.7,17.3,25.2,22.6,21.7,21.8,22.8,22.9,22.6,25.1,24,20.7,18.1,15.8,16.5,15.2,10.8,0
880,주말,6,2613,불광,하행,1.5,3.1,4.3,7.6,10.6,11.9,11.4,12,13.4,14.4,13.7,17.3,18,14.8,13.2,11.5,11.5,10.1,7.1,0
881,주말,6,2614,독바위,하행,1.4,3.3,4.6,8.4,10.5,11.8,12.3,12.8,14.1,14.7,13.9,17,17.2,13.9,11.9,10.4,10.2,8.7,5.6,0
882,주말,6,2615,연신내,하행,2.8,5.4,7.7,13.4,17.8,19,21.8,23.2,23.9,25.2,24.8,29.7,28.1,23.1,17.6,15.3,13.5,12,6.7,0
883,주말,6,2616,구산,하행,4.4,6.4,9.6,16.5,21.2,22.7,25.7,26.1,27,27.2,26.2,30.1,27.1,22.1,16.1,13.8,11.6,10.2,4.8,0
884,주말,6,2617,새절,상행,2.9,6.6,8,15.2,22.3,19.6,18.9,19.7,21.3,23.2,26.2,30.9,31.6,30.5,27,24.1,26.8,24.6,18.5,4.1
885,주말,6,2617,새절,하행,7.1,10.4,16.1,26.6,33,35.2,35.2,35.4,36.8,34.5,31.9,36,28.7,24.2,17.2,13.9,11.5,10.5,4.8,0
886,주말,6,2618,증산,상행,2.6,7.1,8.3,15.6,21.4,19.6,19.4,20.4,23.1,25.5,29.6,35.7,37.1,35.9,32.3,29.1,32.4,29.9,22.7,5.6
887,주말,6,2618,증산,하행,8.4,11.9,18.5,29.7,37.8,39.3,39.1,40.5,39.7,37.6,35.9,37.2,31.1,25.4,18.5,14.7,12,11,5.8,0
888,주말,6,2619,디지털미디어시티,상행,2.2,7.5,8.4,15.2,21.2,19.9,19.6,21,25,27.5,32.6,39.5,41.4,40.6,36.7,33.6,38.3,34.5,24.9,0
889,주말,6,2619,디지털미디어시티,하행,7.3,10.3,16.3,28.2,36.8,39.2,40.4,42.6,41.4,38.8,37.2,37.2,32,24.3,17.8,14,10.9,10.5,5.9,0
890,주말,6,2620,월드컵경기장,상행,3.5,7.8,8.5,13,18.2,18,18.3,20.5,24.9,27.2,32.8,38.8,42,40,36.8,34.5,37.6,35.9,24.9,0
891,주말,6,2620,월드컵경기장,하행,7.3,10.1,16.2,28,36.1,38.4,39.3,41.8,40,38.4,37.9,39.2,33.7,25.8,19.2,14.8,11,11,6,0
892,주말,6,2621,마포구청,상행,3.7,8.2,8.8,13.6,19.7,20.2,19.8,21.8,25.9,27.5,32.2,37.3,40.3,38.9,36,34.2,37.4,34.7,25.5,0
893,주말,6,2621,마포구청,하행,8.2,11.1,17.6,31,41.2,44.2,44.7,46.7,45.8,41.5,42,42.9,37.1,29.4,21.1,15.8,12,11.9,6.2,0
894,주말,6,2622,망원,상행,3.4,8.5,9.4,13.5,20.3,20.6,20.3,24.1,28.5,30.3,35.2,41,42.9,43.9,38.9,38.8,41.4,38.9,29.4,0
895,주말,6,2622,망원,하행,10.8,11.6,18.4,33,43.6,46.7,46.7,50.2,49.3,45.9,48,49.7,45.3,38.4,30.2,25.6,20.2,18.2,10.1,0
896,주말,6,2623,합정,상행,3.2,9,9.9,14.9,23,27.4,30.6,36.8,42.4,44.5,46.6,52.2,51.1,50.4,42,40.4,42.1,39.9,28.8,0
897,주말,6,2623,합정,하행,6.9,7.9,11.4,19.6,28.2,29.2,30.4,34.5,35.2,33.6,34,36,34.1,28.6,23.1,20.1,17.7,16.9,11.4,0
898,주말,6,2624,상수,상행,3.6,6.4,6.9,10,15,19.6,23.6,28,32.4,32.3,33.4,39.8,39.8,36.6,30.4,27.7,28.1,28.7,19.4,0
899,주말,6,2624,상수,하행,10.4,9.7,12.5,20.1,27.2,28.1,28.8,33.3,33.4,32.9,34.5,36.6,34.8,29.1,23.8,23.2,21.7,22,16.2,0
900,주말,6,2625,광흥창,상행,2.6,5.6,6.8,10.3,16.3,20.8,27.5,32.4,35.4,36.6,36.8,42.7,44.8,40.1,32.3,28.6,28.1,28,19.7,0
901,주말,6,2625,광흥창,하행,10.3,9.6,11.8,20.4,26.8,27.9,29.9,34.3,34.4,33.6,34.6,36.9,35.8,28.4,23.7,22.8,21.4,21.6,15.8,0
902,주말,6,2626,대흥,상행,2.4,5.6,6.6,9.9,15.8,20.3,26.4,31,34.3,35.9,36.6,42.2,45.6,41.1,33,29,28.8,28.6,17.8,0
903,주말,6,2626,대흥,하행,10.6,9.5,11.8,20.3,27,29.2,31.2,35.6,36.3,34.8,36.2,39,37,30,24.4,23.2,22.2,22.5,17.6,0.9
904,주말,6,2627,공덕,상행,2.9,5.8,7.3,10.6,17.7,21.8,26.7,32.2,35.6,36.4,37.9,44,45.8,43.6,34.1,29.8,31.1,29.4,19.8,0
