연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
536.0,평일,8,2818,가락시장,하행,43.0,34.3,38.15,39.8,39.45,46.05,60.1,84.3,97.65,67.15,47.75,54.0,55.9,36.65
537.0,평일,8,2819,문정,상행,50.6,44.0,44.65,46.4,43.55,48.900000000000006,69.0,99.35,109.75,54.75,41.849999999999994,40.05,32.75,20.2
538.0,평일,8,2819,문정,하행,31.599999999999998,27.8,32.9,32.45,33.1,41.099999999999994,55.4,85.0,100.35,63.099999999999994,46.0,51.900000000000006,53.45,33.650000000000006
539.0,평일,8,2820,장지,상행,46.900000000000006,37.6,37.4,37.6,34.25,38.95,55.849999999999994,66.95,64.2,38.849999999999994,29.7,28.5,22.8,15.35
540.0,평일,8,2820,장지,하행,26.45,22.049999999999997,27.549999999999997,27.700000000000003,27.799999999999997,35.349999999999994,46.05,73.55,87.4,54.3,41.95,46.900000000000006,46.4,28.6
541.0,평일,8,2821,복정,상행,39.3,32.900000000000006,32.0,31.95,28.65,32.35,46.349999999999994,53.95,56.25,33.15,23.4,23.7,21.5,14.899999999999999
542.0,평일,8,2821,복정,하행,14.3,12.85,16.799999999999997,17.799999999999997,17.35,24.1,31.35,51.25,64.95,47.0,32.3,35.45,35.7,25.15
545.0,평일,8,2822,산성,상행,23.1,18.049999999999997,20.35,18.15,15.0,18.5,26.6,25.6,22.25,12.100000000000001,9.649999999999999,9.15,7.949999999999999,5.699999999999999
546.0,평일,8,2822,산성,하행,11.75,10.45,13.2,14.95,13.15,19.55,24.55,36.150000000000006,46.5,34.15,22.35,25.85,26.299999999999997,18.799999999999997
547.0,평일,8,2823,남한산성입구,상행,18.6,15.3,18.0,15.75,13.6,17.1,26.05,24.15,21.9,12.1,10.45,9.350000000000001,8.3,5.199999999999999
548.0,평일,8,2823,남한산성입구,하행,9.2,9.6,9.95,11.4,11.4,15.75,20.200000000000003,27.45,32.2,23.049999999999997,15.05,16.75,17.15,12.15
549.0,평일,8,2824,단대오거리,상행,13.5,11.45,12.6,12.0,10.75,13.600000000000001,20.85,17.0,18.45,11.149999999999999,10.05,8.95,8.899999999999999,5.5
550.0,평일,8,2824,단대오거리,하행,8.850000000000001,8.65,8.8,10.0,9.100000000000001,11.65,14.55,17.4,18.35,11.100000000000001,7.75,8.45,8.100000000000001,5.6
551.0,평일,8,2825,신흥,상행,9.0,8.4,9.3,8.75,9.350000000000001,12.7,17.6,12.850000000000001,15.3,10.45,9.25,8.2,9.350000000000001,5.4
552.0,평일,8,2825,신흥,하행,8.4,7.9,7.800000000000001,8.6,7.55,9.2,11.8,13.1,12.1,6.800000000000001,4.55,4.9,4.65,3.25
553.0,평일,8,2826,수진,상행,7.45,7.1,8.25,8.25,8.6,12.0,16.6,11.75,15.55,10.75,9.1,8.2,9.25,5.449999999999999
554.0,평일,8,2826,수진,하행,8.9,8.0,8.05,8.6,7.050000000000001,9.149999999999999,11.600000000000001,11.7,8.75,3.9,2.8499999999999996,2.9,2.7,1.4
555.0,평일,8,2827,모란,상행,6.300000000000001,6.3,7.35,7.95,8.75,12.35,16.25,11.55,16.549999999999997,11.75,9.25,8.5,9.350000000000001,6.1
543.0,평일,8,2828,남위례,상행,27.25,20.549999999999997,22.9,20.6,17.25,21.200000000000003,29.35,30.400000000000002,27.9,14.2,11.350000000000001,11.3,9.75,6.55
544.0,평일,8,2828,남위례,하행,12.1,11.25,14.75,15.75,14.95,22.35,28.4,43.4,57.0,40.75,28.05,31.85,32.7,23.35
