연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
252.0,평일,5,2516,발산,상행,10.600000000000001,13.3,14.8,15.55,15.200000000000001,18.1,22.7,30.7,35.95,17.05,17.55,15.35,14.649999999999999,8.75
308.0,평일,5,2516,발산,하행,19.1,18.0,19.0,20.05,21.2,26.0,31.450000000000003,28.9,43.5,31.35,22.6,20.75,20.65,11.4
253.0,평일,5,2517,우장산,상행,15.3,17.65,18.7,20.2,18.75,20.9,26.15,35.35,40.599999999999994,20.4,18.85,16.45,15.850000000000001,9.2
309.0,평일,5,2517,우장산,하행,23.299999999999997,20.950000000000003,21.7,22.1,22.0,27.9,33.95,31.1,42.6,32.8,22.7,20.700000000000003,21.049999999999997,11.149999999999999
254.0,평일,5,2518,화곡,상행,16.0,18.1,19.85,22.35,21.05,23.75,30.0,43.15,49.5,27.05,24.45,22.15,21.9,13.0
310.0,평일,5,2518,화곡,하행,31.55,27.15,28.55,26.45,25.35,30.2,36.55,33.55,43.55,33.8,23.55,20.700000000000003,20.75,10.6
255.0,평일,5,2519,까치산,상행,16.4,18.95,21.5,24.25,24.75,30.1,38.55,58.45,70.4,41.900000000000006,38.0,34.099999999999994,32.5,20.45
311.0,평일,5,2519,까치산,하행,34.2,28.6,29.65,26.65,23.799999999999997,25.8,30.45,27.05,33.05,26.55,18.15,16.0,15.8,8.6
256.0,평일,5,2520,신정,상행,13.25,16.65,19.4,22.4,24.55,32.55,41.900000000000006,65.65,76.75,47.9,43.8,40.7,39.35,24.85
312.0,평일,5,2520,신정,하행,38.15,31.6,32.2,28.9,25.5,25.45,31.25,28.1,31.55,26.8,18.0,15.25,15.6,8.7
257.0,평일,5,2521,목동,상행,13.0,16.75,20.25,23.5,25.9,34.9,45.45,71.19999999999999,84.15,53.35,48.75,45.9,43.1,27.75
313.0,평일,5,2521,목동,하행,42.9,35.5,35.85,31.75,28.05,27.85,33.8,30.0,32.35,27.950000000000003,19.549999999999997,16.3,16.95,9.3
258.0,평일,5,2522,오목교,상행,14.149999999999999,18.299999999999997,22.75,26.700000000000003,29.25,40.900000000000006,51.95,85.1,96.75,63.0,56.7,53.2,48.25,32.75
314.0,평일,5,2522,오목교,하행,46.45,38.95,38.95,35.05,30.6,31.5,37.2,35.099999999999994,37.2,31.9,24.35,20.65,22.15,10.8
259.0,평일,5,2523,양평,상행,17.4,22.1,26.8,30.849999999999998,33.900000000000006,46.0,59.1,94.3,106.4,69.1,60.2,57.2,51.349999999999994,36.099999999999994
315.0,평일,5,2523,양평,하행,47.35,40.0,40.5,36.35,31.7,32.25,38.75,37.65,40.0,33.7,25.049999999999997,21.25,23.049999999999997,11.15
260.0,평일,5,2524,영등포구청,상행,18.25,22.799999999999997,26.6,32.6,34.8,46.9,61.3,96.4,107.15,71.75,62.05,59.55,53.3,37.85
316.0,평일,5,2524,영등포구청,하행,35.5,30.950000000000003,31.85,28.85,24.1,24.25,28.200000000000003,27.05,28.4,25.25,17.6,15.149999999999999,16.2,8.35
261.0,평일,5,2525,영등포시장,상행,13.95,18.200000000000003,20.5,25.0,27.55,37.0,49.65,78.05000000000001,84.19999999999999,55.7,48.45,46.0,38.75,27.75
317.0,평일,5,2525,영등포시장,하행,35.35,31.0,30.5,28.25,24.25,25.0,29.950000000000003,30.1,30.5,26.1,18.45,15.85,16.549999999999997,9.2
262.0,평일,5,2526,신길,상행,14.75,19.200000000000003,21.65,26.0,27.6,37.150000000000006,49.4,80.19999999999999,84.85,57.95,48.9,47.45,39.349999999999994,28.6
318.0,평일,5,2526,신길,하행,38.349999999999994,33.8,32.8,31.0,25.75,26.049999999999997,32.15,31.65,32.45,27.55,18.9,16.25,16.4,9.05
263.0,평일,5,2527,여의도,상행,15.3,20.35,23.35,27.25,29.700000000000003,39.65,54.75,96.0,94.9,63.75,55.5,54.5,43.900000000000006,29.85
319.0,평일,5,2527,여의도,하행,33.5,33.45,31.15,32.35,27.4,30.0,38.8,54.3,54.2,42.85,29.25,24.95,22.2,11.3
264.0,평일,5,2528,여의나루,상행,19.2,22.8,25.5,28.9,29.1,36.05,49.8,81.2,80.35,48.9,43.9,44.55,37.650000000000006,24.15
320.0,평일,5,2528,여의나루,하행,32.85,33.5,31.299999999999997,32.75,28.4,31.5,40.55,61.25,62.65,49.25,34.0,28.549999999999997,24.65,12.75
265.0,평일,5,2529,마포,상행,22.85,25.1,27.7,31.299999999999997,30.85,38.05,50.05,79.94999999999999,79.30000000000001,47.05,42.349999999999994,43.55,36.45,23.4
321.0,평일,5,2529,마포,하행,33.0,34.55,32.05,33.55,29.0,32.0,42.25,60.9,62.95,49.05,34.95,29.75,25.3,12.75
266.0,평일,5,2530,공덕,상행,23.85,25.7,27.75,31.3,30.8,38.3,49.75,78.75,76.15,47.45,41.6,41.8,35.15,23.799999999999997
322.0,평일,5,2530,공덕,하행,33.599999999999994,35.65,32.35,33.650000000000006,29.1,30.5,38.15,53.45,52.900000000000006,42.75,30.65,25.75,22.5,13.15
267.0,평일,5,2531,애오개,상행,21.75,24.2,26.15,29.55,30.6,37.75,50.05,79.05,77.9,48.2,41.65,40.95,33.9,21.549999999999997
323.0,평일,5,2531,애오개,하행,33.150000000000006,36.3,32.2,34.0,29.05,30.299999999999997,37.55,52.9,52.0,42.400000000000006,29.85,25.4,21.299999999999997,12.4
268.0,평일,5,2532,충정로,상행,21.450000000000003,24.15,25.55,29.15,30.450000000000003,37.0,50.599999999999994,78.05000000000001,79.3,48.7,42.2,41.7,34.599999999999994,22.25
324.0,평일,5,2532,충정로,하행,31.950000000000003,34.75,31.2,32.8,28.299999999999997,29.6,36.25,50.95,50.75,41.6,29.25,24.9,20.950000000000003,13.0
269.0,평일,5,2533,서대문,상행,20.950000000000003,23.049999999999997,24.6,28.0,29.3,36.1,49.7,73.94999999999999,73.3,45.5,40.9,40.45,33.7,21.8
325.0,평일,5,2533,서대문,하행,30.8,35.35,31.45,31.9,29.85,32.45,41.2,59.65,60.349999999999994,44.95,33.15,28.65,23.5,13.700000000000001
270.0,평일,5,2534,광화문,상행,22.35,23.5,25.5,28.3,29.4,33.55,44.5,60.95,61.3,41.650000000000006,36.75,36.75,30.25,20.65
326.0,평일,5,2534,광화문,하행,25.65,30.3,29.65,30.4,31.799999999999997,36.65,48.45,72.5,75.15,55.650000000000006,44.3,41.35,31.5,16.25
271.0,평일,5,2535,종로3가,상행,28.25,27.95,27.8,29.1,28.25,30.75,38.65,48.2,41.4,32.35,24.95,23.9,23.15,17.05
327.0,평일,5,2535,종로3가,하행,18.7,21.450000000000003,23.9,25.3,27.85,33.95,45.400000000000006,66.65,70.0,54.45,44.0,43.7,33.55,19.2
272.0,평일,5,2536,을지로4가,상행,30.5,28.9,27.45,27.75,24.7,26.0,33.05,39.3,33.7,27.15,19.1,17.6,17.55,12.9
328.0,평일,5,2536,을지로4가,하행,15.8,19.15,21.3,22.65,25.299999999999997,31.9,44.05,67.85,71.45,55.3,44.4,43.35,34.9,20.5
273.0,평일,5,2537,동대문역사문화공원,상행,29.700000000000003,27.0,25.35,25.1,22.5,23.35,29.1,33.5,27.65,23.450000000000003,16.3,14.85,14.850000000000001,11.3
329.0,평일,5,2537,동대문역사문화공원,하행,15.5,18.35,22.05,24.049999999999997,27.85,35.45,49.75,73.75,75.05000000000001,56.0,47.05,45.3,39.0,23.5
274.0,평일,5,2538,청구,상행,34.55,32.75,29.15,28.05,24.15,24.15,30.2,33.6,28.049999999999997,25.1,17.0,14.6,14.8,10.8
330.0,평일,5,2538,청구,하행,16.75,19.8,23.85,26.5,30.0,37.75,54.5,78.1,77.75,59.900000000000006,50.7,48.5,43.25,26.05
275.0,평일,5,2539,신금호,상행,38.15,36.3,32.8,30.349999999999998,27.25,26.75,33.25,36.8,32.0,28.05,18.4,17.15,16.950000000000003,13.1
331.0,평일,5,2539,신금호,하행,17.1,20.05,23.65,26.25,30.05,37.1,54.849999999999994,74.7,76.45,58.05,49.5,47.3,41.75,26.1
276.0,평일,5,2540,행당,상행,37.5,35.25,32.65,30.599999999999998,27.25,27.25,34.099999999999994,37.0,33.3,29.299999999999997,19.049999999999997,17.5,17.8,13.95
332.0,평일,5,2540,행당,하행,18.25,20.85,24.0,26.799999999999997,29.4,36.45,52.65,74.3,72.85,56.45,47.65,45.35,40.95,26.0
277.0,평일,5,2541,왕십리,상행,36.25,34.2,32.05,30.5,27.5,28.049999999999997,35.05,38.7,34.95,30.95,19.95,18.6,18.8,15.149999999999999
333.0,평일,5,2541,왕십리,하행,20.0,23.75,28.2,31.9,36.2,45.400000000000006,66.25,96.6,93.4,74.80000000000001,63.0,62.3,57.55,39.4
278.0,평일,5,2542,마장,상행,48.75,42.849999999999994,41.45,38.2,32.7,32.65,41.5,45.0,38.65,32.5,21.35,19.55,19.0,15.45
334.0,평일,5,2542,마장,하행,19.45,22.950000000000003,27.65,31.65,35.599999999999994,45.65,64.9,94.0,91.35,73.65,62.0,62.35,55.85,38.5
279.0,평일,5,2543,답십리,상행,47.55,41.8,40.75,36.849999999999994,31.55,32.1,40.35,42.6,38.9,31.700000000000003,21.049999999999997,19.3,19.0,14.75
335.0,평일,5,2543,답십리,하행,19.200000000000003,22.450000000000003,27.450000000000003,31.0,34.7,43.55,62.15,91.1,89.9,68.25,58.55,58.599999999999994,52.25,35.900000000000006
280.0,평일,5,2544,장한평,상행,45.349999999999994,39.3,39.65,35.900000000000006,30.95,31.55,39.7,41.95,38.650000000000006,33.1,21.450000000000003,19.950000000000003,20.25,15.100000000000001
336.0,평일,5,2544,장한평,하행,18.55,22.6,27.1,31.0,34.05,41.95,59.4,90.2,90.5,62.45,58.25,54.0,50.35,33.75
281.0,평일,5,2545,군자,상행,43.75,38.7,37.95,35.5,29.75,30.85,39.1,40.8,39.05,33.85,22.4,21.6,21.15,16.6
337.0,평일,5,2545,군자,하행,23.1,29.0,33.5,37.55,41.15,49.65,69.95,103.55,97.1,72.5,67.85,61.65,58.1,39.400000000000006
282.0,평일,5,2546,아차산,상행,54.2,46.900000000000006,45.2,42.3,36.150000000000006,39.05,50.55,52.5,55.65,45.0,30.200000000000003,28.6,28.0,19.0
338.0,평일,5,2546,아차산,하행,22.1,27.4,32.55,37.0,40.35,46.7,68.65,97.1,92.5,68.35,64.25,58.45,54.7,36.35
283.0,평일,5,2547,광나루,상행,51.85,44.150000000000006,43.05,39.45,34.900000000000006,37.7,50.099999999999994,50.85,56.0,45.45,30.4,28.6,28.049999999999997,19.2
339.0,평일,5,2547,광나루,하행,21.25,26.299999999999997,30.9,36.95,38.35,46.75,65.5,94.0,91.6,66.55,60.599999999999994,56.75,53.150000000000006,34.65
284.0,평일,5,2548,천호,상행,49.4,42.849999999999994,43.0,37.599999999999994,32.85,36.099999999999994,47.25,49.7,54.8,43.15,29.549999999999997,26.1,27.1,19.0
340.0,평일,5,2548,천호,하행,17.65,23.25,28.35,34.45,35.7,46.9,57.5,84.1,88.75,63.25,57.0,56.15,48.900000000000006,34.8
285.0,평일,5,2549,강동,상행,49.55,39.900000000000006,43.400000000000006,35.25,32.4,36.3,42.85,41.400000000000006,44.95,33.25,23.1,20.700000000000003,22.85,15.7
341.0,평일,5,2549,강동,하행,19.75,26.65,32.599999999999994,35.95,38.8,49.1,61.849999999999994,64.7,87.65,61.6,56.05,55.2,47.650000000000006,32.45
286.0,평일,5,2550,길동,상행,67.4,55.2,55.650000000000006,49.95,42.75,45.95,57.8,50.599999999999994,49.650000000000006,37.25,26.200000000000003,25.2,26.4,16.35
342.0,평일,5,2550,길동,하행,20.8,29.95,35.75,42.45,47.25,57.5,78.25,113.7,120.5,81.94999999999999,75.9,69.45,66.5,42.55
287.0,평일,5,2551,굽은다리,상행,63.3,51.95,51.85,46.1,40.099999999999994,43.45,54.599999999999994,40.8,48.9,34.400000000000006,23.8,23.3,25.0,13.450000000000001
343.0,평일,5,2551,굽은다리,하행,18.0,26.65,32.7,38.55,42.35,51.900000000000006,68.85,96.85,109.9,73.25,67.9,63.05,58.1,37.55
288.0,평일,5,2552,명일,상행,57.55,47.25,46.8,40.0,35.95,40.25,50.599999999999994,37.650000000000006,45.650000000000006,31.700000000000003,21.75,21.2,26.0,12.75
344.0,평일,5,2552,명일,하행,17.1,25.15,30.9,35.05,37.099999999999994,47.05,62.8,87.9,98.6,65.6,62.75,57.5,52.55,33.7
289.0,평일,5,2553,고덕,상행,52.400000000000006,42.9,42.8,37.25,33.15,39.45,47.849999999999994,35.65,44.1,29.85,21.1,19.65,22.15,12.200000000000001
345.0,평일,5,2553,고덕,하행,13.65,21.65,26.0,28.6,31.25,41.8,53.95,79.19999999999999,91.80000000000001,58.5,56.15,51.75,48.1,30.049999999999997
290.0,평일,5,2554,상일동,상행,45.75,34.6,36.0,32.65,27.95,30.7,36.9,29.5,36.9,25.049999999999997,17.799999999999997,16.05,16.549999999999997,10.6
346.0,평일,5,2554,상일동,하행,11.65,17.55,19.75,20.75,23.05,30.75,40.099999999999994,57.0,66.35,42.05,40.85,36.25,35.7,22.1
296.0,평일,5,2555,둔촌동,상행,32.95,29.6,30.8,29.35,26.450000000000003,31.6,40.55,38.3,51.2,40.349999999999994,24.299999999999997,22.75,28.2,17.95
353.0,평일,5,2555,둔촌동,하행,16.1,19.85,23.25,24.35,25.7,28.4,35.85,24.75,41.15,28.5,28.5,26.7,24.299999999999997,16.05
297.0,평일,5,2556,올림픽공원(한국체대),상행,28.0,25.6,27.1,26.45,23.7,29.3,39.65,36.55,52.400000000000006,40.25,23.85,23.1,28.5,17.75
354.0,평일,5,2556,올림픽공원(한국체대),하행,12.899999999999999,17.95,19.55,21.3,22.8,28.35,35.95,25.0,42.6,29.8,29.35,27.25,25.35,18.7
298.0,평일,5,2557,방이,상행,26.35,22.7,24.049999999999997,25.05,20.299999999999997,25.15,32.7,30.1,47.8,32.4,19.75,19.700000000000003,21.15,9.2
355.0,평일,5,2557,방이,하행,11.600000000000001,16.2,17.15,18.4,19.7,23.7,30.450000000000003,22.9,37.75,25.85,26.45,25.25,25.55,16.15
299.0,평일,5,2558,오금,상행,23.049999999999997,20.3,21.75,22.0,18.35,23.45,32.25,27.6,42.4,29.549999999999997,17.3,16.15,16.35,7.75
356.0,평일,5,2558,오금,하행,7.1,11.25,12.75,15.25,17.75,24.200000000000003,30.5,22.75,39.5,27.85,26.700000000000003,26.05,25.75,16.5
300.0,평일,5,2559,개롱,상행,21.95,18.35,19.5,18.049999999999997,14.65,16.4,22.55,15.3,19.1,12.75,8.45,8.05,6.9,3.7
357.0,평일,5,2559,개롱,하행,5.05,8.100000000000001,9.25,11.0,12.75,18.05,21.85,16.45,29.25,20.35,19.200000000000003,19.1,18.85,12.0
301.0,평일,5,2560,거여,상행,16.1,13.7,14.75,12.75,10.7,11.75,14.149999999999999,10.0,12.75,8.7,5.800000000000001,5.05,4.4,2.45
358.0,평일,5,2560,거여,하행,2.1500000000000004,3.4000000000000004,3.75,4.6,5.35,7.8,8.95,6.4,11.25,8.399999999999999,7.65,7.6,7.5,5.0
302.0,평일,5,2561,마천,상행,6.699999999999999,5.75,5.9,5.2,4.5,4.1,4.8,3.45,5.35,3.0,2.4,1.7,1.6,0.9
291.0,평일,5,2562,강일,상행,32.2,24.9,27.2,25.2,21.4,23.049999999999997,29.6,30.0,35.1,19.35,14.75,14.7,15.100000000000001,9.95
347.0,평일,5,2562,강일,하행,12.5,16.049999999999997,16.6,18.15,20.05,26.4,34.85,47.8,56.900000000000006,40.349999999999994,34.45,30.5,29.35,20.45
292.0,평일,5,2563,미사,상행,25.95,20.35,22.9,21.5,18.799999999999997,19.65,25.95,26.85,30.950000000000003,17.65,14.1,14.399999999999999,15.0,9.6
348.0,평일,5,2563,미사,하행,7.95,10.5,11.55,12.2,13.95,17.700000000000003,21.05,25.75,25.65,18.85,17.9,16.35,16.15,11.3
293.0,평일,5,2564,하남풍산,상행,15.65,12.95,14.649999999999999,14.25,12.850000000000001,14.15,20.700000000000003,17.15,24.8,11.9,8.05,8.0,7.4,3.4
349.0,평일,5,2564,하남풍산,하행,6.35,8.899999999999999,10.0,10.6,11.8,15.95,18.55,21.15,22.700000000000003,13.75,15.0,13.7,12.6,9.3
294.0,평일,5,2565,하남시청,상행,13.25,11.3,12.6,12.0,11.05,11.399999999999999,16.6,11.95,15.7,9.1,6.85,6.35,5.85,2.85
350.0,평일,5,2565,하남시청,하행,3.0999999999999996,4.6,5.15,4.550000000000001,5.4,7.05,8.899999999999999,9.35,9.55,5.95,6.6,6.1,5.75,3.95
295.0,평일,5,2566,하남검단산,상행,5.7,5.0,5.300000000000001,5.550000000000001,5.25,5.4,8.2,5.65,6.6,4.55,3.4,3.3,3.5999999999999996,1.5
360.0,평일,6,2611,응암,상행,14.600000000000001,14.95,16.450000000000003,16.65,16.0,20.799999999999997,26.05,28.4,44.6,25.9,19.45,20.9,20.05,12.2
399.0,평일,6,2611,응암,하행,23.299999999999997,20.3,20.9,20.45,16.85,19.549999999999997,25.75,22.3,21.3,12.2,10.3,9.85,9.5,4.75
394.0,평일,6,2612,역촌,하행,15.45,15.6,16.85,16.75,15.75,19.85,24.25,26.25,39.9,23.25,17.4,18.6,17.45,10.4
395.0,평일,6,2613,불광,하행,7.85,8.55,9.6,10.05,10.2,13.2,16.450000000000003,16.6,24.8,15.9,11.45,11.95,11.149999999999999,6.9
396.0,평일,6,2614,독바위,하행,8.75,9.05,9.75,10.2,10.399999999999999,12.3,15.649999999999999,15.1,21.700000000000003,13.55,9.75,9.95,9.2,5.5
397.0,평일,6,2615,연신내,하행,15.950000000000001,15.4,16.85,16.85,16.0,20.25,26.2,23.55,26.9,17.25,13.35,12.8,11.7,6.800000000000001
398.0,평일,6,2616,구산,하행,19.25,17.4,18.549999999999997,17.85,15.95,20.0,24.95,21.85,22.15,13.5,11.2,10.35,9.75,5.55
361.0,평일,6,2617,새절,상행,14.100000000000001,14.3,15.95,16.9,18.15,23.8,31.849999999999998,37.3,61.25,38.3,28.4,30.15,28.8,17.3
400.0,평일,6,2617,새절,하행,27.1,23.049999999999997,23.55,22.65,18.6,20.9,28.6,25.4,22.95,12.45,10.25,9.9,9.45,4.85
362.0,평일,6,2618,증산,상행,14.3,15.100000000000001,16.95,18.95,20.7,27.0,35.95,44.85,76.35,47.55,34.849999999999994,36.599999999999994,35.25,21.5
401.0,평일,6,2618,증산,하행,30.700000000000003,25.299999999999997,25.75,25.0,20.65,22.15,29.799999999999997,26.799999999999997,24.1,12.8,10.75,10.350000000000001,9.25,5.1
363.0,평일,6,2619,디지털미디어시티,상행,15.100000000000001,16.05,17.75,20.25,22.6,30.85,39.95,50.349999999999994,86.85,54.75,40.849999999999994,42.599999999999994,40.9,25.3
402.0,평일,6,2619,디지털미디어시티,하행,31.650000000000002,26.45,25.85,25.95,20.8,21.2,28.6,30.35,31.299999999999997,15.25,10.95,10.45,9.35,5.75
364.0,평일,6,2620,월드컵경기장,상행,14.35,15.45,17.25,20.2,22.4,30.5,40.599999999999994,49.05,85.2,55.9,41.15,43.099999999999994,41.55,25.55
403.0,평일,6,2620,월드컵경기장,하행,32.25,26.25,25.75,25.3,20.4,21.3,29.15,31.95,31.65,15.55,11.35,10.8,9.8,6.25
